ID,task_achievement,coherence_and_cohesion,lexical_resource,grammatical_range
43,5.8945312,5.5820312,5.3203125,5.3359375
44,6.5273438,6.5273438,6.0742188,5.9140625
45,6.0195312,5.7265625,5.515625,5.3632812
46,6.8164062,7.0703125,6.4023438,6.390625
47,7.390625,7.625,7.0273438,6.8632812
48,7.0703125,7.3164062,6.7773438,6.6757812
49,6.9179688,6.984375,6.59375,6.359375
50,7.140625,7.3203125,6.7148438,6.84375
51,6.2578125,5.9257812,5.8515625,5.7460938
52,6.671875,6.71875,6.1367188,6.0507812
53,7.34375,7.5195312,6.9609375,6.75
54,6.9179688,7.0703125,6.546875,6.4335938
55,6.8828125,6.8125,6.3125,6.3515625
56,6.4375,6.3867188,6.0078125,5.9492188
57,6.0703125,5.9492188,5.546875,5.3632812
58,6.96875,7.1210938,6.625,6.4765625
59,6.625,6.6054688,6.1796875,6.0507812
60,6.9335938,7.1835938,6.6054688,6.578125
61,6.6445312,6.7460938,6.3359375,6.265625
62,6.0429688,5.4804688,5.25,5.203125
63,6.8671875,6.90625,6.4023438,6.4023438
64,6.4179688,6.1601562,5.828125,5.7539062
65,5.9609375,5.6210938,5.4296875,5.40625
66,5.703125,5.2539062,5.1640625,5.0117188
67,5.1015625,4.7539062,4.6523438,4.375
68,6.7617188,7.0546875,6.4023438,6.453125
69,6.0351562,6.0234375,5.7460938,5.5703125
70,6.9414062,7.2460938,6.7695312,6.6328125
71,7.0,7.171875,6.5078125,6.3125
72,6.7226562,6.9765625,6.3085938,6.4296875
73,7.5039062,7.7109375,7.0507812,6.953125
74,6.7617188,7.0039062,6.5429688,6.3710938
75,6.1484375,6.125,5.7851562,5.6015625
76,6.2734375,6.359375,6.0625,5.7890625
77,6.4257812,6.4257812,6.1171875,5.9960938
78,6.8164062,6.9023438,6.234375,6.125
79,6.2734375,6.2695312,5.890625,5.6992188
80,7.046875,7.375,6.796875,6.65625
81,6.7929688,6.984375,6.4765625,6.3476562
82,6.875,7.0117188,6.5273438,6.4101562
83,7.0742188,7.2148438,6.6328125,6.5546875
84,7.140625,6.9882812,6.6875,6.6210938
85,5.1171875,4.8789062,5.15625,4.8164062
86,5.4804688,5.1132812,5.0507812,5.0546875
87,6.6210938,6.5273438,6.21875,6.1679688
88,6.4101562,6.3125,5.7460938,5.703125
89,6.609375,6.5078125,6.265625,6.1523438
90,5.8359375,5.5585938,5.3125,5.1992188
91,6.8945312,6.8007812,6.4882812,6.3984375
92,6.4804688,6.2734375,6.078125,6.0078125
93,7.328125,7.3632812,6.9179688,6.7539062
94,6.421875,6.4453125,6.1328125,5.9726562
95,7.0976562,7.3398438,6.7617188,6.6914062
96,6.2695312,6.21875,5.8476562,5.8359375
97,6.6523438,6.671875,6.4335938,6.3710938
98,7.2070312,7.0117188,6.8007812,6.7070312
99,6.6015625,6.46875,6.2734375,6.203125
100,5.9882812,5.7265625,5.5898438,5.4140625
101,7.1914062,7.03125,6.5625,6.5039062
102,5.9882812,5.75,5.5625,5.484375
103,6.6054688,6.625,6.2460938,6.2304688
104,5.25,4.8007812,4.6601562,4.3789062
105,6.6328125,6.6640625,6.2382812,6.0976562
106,6.1875,5.9414062,5.6914062,5.40625
107,7.1953125,7.1914062,6.734375,6.6914062
108,6.9414062,7.109375,6.6171875,6.5507812
109,6.3085938,6.4609375,6.0,5.9296875
110,7.2148438,7.28125,6.7929688,6.8398438
111,7.0898438,7.3359375,6.6875,6.7851562
112,3.4023438,3.3945312,3.2285156,3.15625
113,7.140625,7.3632812,6.84375,6.8945312
114,7.6914062,7.9804688,7.4414062,7.28125
115,7.0351562,7.3164062,6.7460938,6.6992188
116,7.3085938,7.5039062,6.8945312,6.9570312
117,6.4414062,6.3828125,6.1757812,6.0117188
118,6.671875,6.7265625,6.4023438,6.3515625
119,6.8476562,6.9179688,6.4648438,6.3984375
120,6.9609375,7.0664062,6.5546875,6.4921875
121,7.1875,7.34375,6.796875,6.7421875
122,6.390625,6.3164062,5.8828125,5.8710938
123,7.03125,7.421875,6.7773438,6.6289062
124,5.359375,5.1132812,4.9492188,4.7734375
125,6.421875,6.4257812,5.9804688,5.9570312
126,7.0,7.1367188,6.6367188,6.5273438
127,6.703125,6.7734375,6.2421875,6.1679688
128,6.9570312,7.1953125,6.6992188,6.6484375
129,6.5546875,6.5273438,6.2226562,6.1640625
130,7.328125,7.6992188,7.0117188,6.9453125
131,6.625,6.7304688,6.390625,6.3164062
132,7.0742188,7.1679688,6.6992188,6.5859375
133,6.5351562,6.7851562,6.3007812,6.3164062
134,5.3828125,5.3046875,5.1171875,5.203125
135,6.6875,6.84375,6.4960938,6.34375
136,6.875,6.9804688,6.5546875,6.484375
137,6.578125,6.7265625,6.234375,6.1289062
138,6.8164062,6.9453125,6.5117188,6.484375
139,6.546875,6.6679688,6.1953125,6.125
140,7.2539062,7.4609375,6.8164062,6.7695312
141,6.6484375,6.8515625,6.2578125,6.1601562
142,6.84375,6.8359375,6.3945312,6.2734375
143,6.921875,7.09375,6.6289062,6.5507812
144,6.8515625,6.9492188,6.3710938,6.375
145,6.7304688,6.8710938,6.3242188,6.2890625
146,6.7734375,6.9453125,6.3867188,6.3164062
147,7.0546875,7.1914062,6.5859375,6.5585938
148,6.6015625,6.7890625,6.375,6.1914062
149,6.8867188,6.90625,6.4296875,6.3632812
150,6.8554688,7.0546875,6.6484375,6.4960938
151,6.7578125,6.9140625,6.3671875,6.3164062
152,6.9882812,7.2421875,6.6601562,6.4726562
153,6.7929688,6.9570312,6.5039062,6.390625
154,7.2382812,7.2578125,6.75,6.7539062
155,7.0234375,7.2148438,6.71875,6.6875
156,7.2382812,7.484375,6.8632812,6.8242188
157,6.734375,6.8789062,6.3476562,6.3398438
158,6.7929688,6.8085938,6.3710938,6.3125
159,6.9960938,7.1445312,6.6054688,6.4804688
160,5.8476562,5.5820312,5.2890625,5.1953125
161,6.9257812,7.046875,6.546875,6.5078125
162,7.0625,7.1679688,6.5546875,6.5390625
163,6.9882812,7.1679688,6.5703125,6.5117188
164,7.078125,7.2539062,6.640625,6.59375
165,6.5351562,6.5351562,6.1484375,6.1367188
166,7.2929688,7.5625,6.9414062,6.8476562
167,6.75,6.5,6.1640625,6.21875
168,7.1835938,7.5429688,6.8398438,6.7265625
169,6.4296875,6.2070312,5.8164062,5.890625
170,6.6679688,6.7265625,6.234375,6.171875
171,7.1875,7.2890625,6.7773438,6.75
172,6.7265625,6.9882812,6.5859375,6.6015625
173,6.8828125,7.0820312,6.4140625,6.328125
174,6.6523438,6.5664062,6.1367188,6.1015625
175,6.7265625,6.6679688,6.2890625,6.2539062
176,6.8164062,7.0273438,6.4648438,6.4960938
177,5.0234375,4.671875,4.5742188,4.4960938
178,5.6757812,5.6015625,5.3828125,5.0117188
179,6.7578125,7.0195312,6.4804688,6.4179688
180,5.6601562,5.5859375,5.2578125,5.3125
181,6.75,7.0859375,6.3515625,6.5664062
182,7.2539062,7.4492188,6.8671875,6.875
183,5.7226562,5.5195312,5.28125,5.25
184,6.2226562,6.2617188,5.8984375,5.8554688
185,6.9257812,7.3203125,6.7265625,6.6953125
186,7.3320312,7.7265625,7.0625,7.0664062
187,6.9726562,7.3476562,6.6210938,6.6054688
188,6.140625,6.2773438,5.8554688,5.8515625
189,5.0585938,4.7148438,5.0039062,4.71875
190,5.3007812,5.2148438,5.078125,4.8476562
191,6.2460938,6.15625,5.796875,5.8203125
192,6.65625,6.8984375,6.4726562,6.375
193,6.390625,6.4101562,6.0078125,5.9570312
194,6.3398438,6.5664062,5.9179688,5.90625
195,6.3398438,6.3710938,6.078125,5.9179688
196,7.015625,7.0625,6.6132812,6.5195312
197,6.5390625,6.484375,6.2226562,6.1132812
198,6.828125,6.9804688,6.4414062,6.234375
199,6.890625,7.1132812,6.4882812,6.34375
200,5.9960938,5.8359375,5.5039062,5.2421875
201,6.4882812,6.4296875,6.3632812,6.1328125
202,6.9765625,6.875,6.4140625,6.4609375
203,6.8242188,6.9179688,6.390625,6.2539062
204,6.9765625,7.140625,6.6132812,6.5078125
205,6.1914062,5.9960938,5.6757812,5.625
206,7.2539062,7.515625,6.7421875,6.6210938
207,6.8398438,6.9960938,6.5195312,6.3242188
208,6.515625,6.6796875,6.2304688,6.078125
209,6.3867188,6.3710938,5.984375,5.8046875
210,7.09375,7.1796875,6.5898438,6.625
211,5.7070312,5.234375,5.1367188,5.0039062
212,6.7734375,6.8320312,6.2382812,6.1601562
213,6.6289062,6.5898438,6.1953125,6.2578125
214,6.8007812,6.796875,6.3242188,6.1992188
215,5.2851562,5.2226562,5.0507812,4.9804688
216,6.9648438,7.2617188,6.6171875,6.4375
217,6.7070312,6.8789062,6.3671875,6.21875
218,6.5742188,6.6601562,6.21875,6.09375
219,6.8554688,6.9453125,6.4296875,6.3710938
220,7.15625,7.2929688,6.7851562,6.671875
221,6.9804688,7.171875,6.6132812,6.5195312
222,7.1054688,7.3398438,6.734375,6.5546875
223,6.4335938,6.5507812,6.0273438,5.9570312
224,6.0898438,5.8554688,5.7382812,5.640625
225,6.125,6.234375,5.7617188,5.6679688
226,6.7109375,6.8710938,6.28125,6.3242188
227,6.7890625,6.859375,6.421875,6.3710938
228,6.5117188,6.6210938,6.09375,6.0664062
229,6.625,6.8125,6.265625,6.125
230,6.015625,5.4960938,5.3710938,5.2578125
231,6.9921875,6.7773438,6.3046875,6.2773438
232,7.1601562,7.2421875,6.6523438,6.5039062
233,7.1796875,7.3203125,6.7578125,6.6289062
234,7.1796875,7.2890625,6.6796875,6.6484375
235,6.421875,6.3476562,5.9335938,5.9414062
236,4.6523438,4.0273438,4.3476562,4.2929688
237,5.3476562,4.7617188,4.8046875,4.7734375
238,6.7148438,6.5820312,6.265625,6.296875
239,6.59375,6.4882812,6.0820312,5.9804688
240,6.5625,6.3203125,6.1835938,6.046875
241,6.3515625,6.1289062,5.9648438,5.765625
242,7.1054688,7.0742188,6.6132812,6.6132812
243,7.4609375,7.3828125,6.953125,6.9726562
244,7.015625,6.9804688,6.5742188,6.5273438
245,6.6601562,6.6796875,6.2539062,6.1992188
246,7.046875,7.0976562,6.703125,6.6289062
247,6.4726562,6.3984375,6.078125,6.0039062
248,6.6757812,6.7070312,6.2460938,6.1367188
249,7.1835938,7.5117188,7.046875,6.9492188
250,6.6796875,6.6835938,6.2617188,6.2265625
251,6.453125,6.46875,6.0390625,6.0
252,5.8984375,5.984375,5.4375,5.4101562
253,6.53125,6.5703125,6.09375,5.9414062
254,7.0195312,7.34375,6.6679688,6.5390625
255,6.578125,6.4492188,6.1875,5.9492188
256,7.2148438,7.4179688,6.8164062,6.6132812
257,6.921875,7.109375,6.53125,6.3125
258,6.21875,5.9765625,5.7695312,5.6367188
259,6.4570312,6.375,6.0390625,6.015625
260,7.1367188,7.2851562,6.734375,6.6796875
261,6.3085938,6.4609375,6.0,5.9296875
262,7.25,7.4453125,6.7734375,6.7695312
263,6.8710938,7.1992188,6.6171875,6.5859375
264,7.1796875,7.4335938,6.8203125,6.6992188
265,6.1015625,5.9492188,5.7265625,5.609375
266,6.4335938,6.2734375,6.0742188,6.0117188
267,6.5507812,6.3945312,6.046875,6.0976562
268,6.59375,6.5273438,6.2539062,6.15625
269,7.4648438,7.7851562,7.046875,7.03125
270,6.6328125,6.8398438,6.359375,6.21875
271,6.6523438,6.6953125,6.0820312,6.1445312
272,6.4570312,6.5585938,5.9570312,6.046875
273,6.3632812,6.4335938,6.0195312,5.9804688
274,6.640625,6.734375,6.2265625,6.1484375
275,6.4570312,6.328125,5.9882812,5.8867188
276,6.4960938,6.5625,6.0507812,5.9453125
277,7.2617188,7.4375,6.8476562,6.796875
278,7.1679688,7.4296875,6.8710938,6.7382812
279,6.5859375,6.6132812,6.28125,6.0703125
280,6.6132812,6.6953125,6.2109375,6.1328125
281,4.0,3.7695312,3.9414062,4.140625
282,6.6601562,6.4570312,6.1171875,5.9726562
283,7.2695312,7.4921875,6.8476562,6.8242188
284,6.9101562,6.984375,6.5078125,6.5195312
285,7.0195312,6.9414062,6.4101562,6.3554688
286,6.7070312,6.609375,6.2109375,6.1640625
287,7.3085938,7.3828125,6.8242188,6.7421875
288,7.2382812,7.2382812,6.6953125,6.6640625
289,6.6015625,6.6015625,6.2773438,6.2148438
290,6.7460938,6.6640625,6.1835938,6.171875
291,6.5742188,6.6289062,6.2304688,6.046875
292,6.640625,6.6484375,6.2617188,6.1367188
293,6.8359375,6.6679688,6.3515625,6.171875
294,6.828125,7.1914062,6.6757812,6.5625
295,6.28125,6.328125,5.890625,5.8710938
296,6.6796875,6.7695312,6.2929688,6.265625
297,7.1132812,7.2929688,6.7460938,6.7265625
298,6.4648438,6.4101562,6.0234375,5.9726562
299,5.8046875,5.578125,5.296875,5.3046875
300,6.6992188,6.7851562,6.34375,6.15625
301,6.6796875,6.9296875,6.3476562,6.1875
302,7.4921875,7.6992188,7.15625,6.9765625
303,6.4335938,6.3164062,6.03125,5.8085938
304,7.2226562,7.3476562,6.8046875,6.7382812
305,6.6523438,6.5898438,6.3242188,6.1796875
306,6.1757812,6.0703125,5.8789062,5.6953125
307,6.7226562,6.8085938,6.2539062,6.1328125
308,6.328125,6.0859375,5.8359375,5.7617188
309,6.3242188,6.15625,5.875,5.640625
310,6.6367188,6.8125,6.2890625,6.1132812
311,6.6757812,6.8203125,6.453125,6.296875
312,6.640625,6.7109375,6.3671875,6.2734375
313,6.2226562,6.09375,5.796875,5.6601562
314,6.1210938,6.0273438,5.7851562,5.5429688
315,4.8007812,4.421875,4.3203125,4.2851562
316,6.890625,7.1523438,6.5429688,6.40625
317,6.734375,6.8671875,6.484375,6.3398438
318,6.7890625,6.9023438,6.421875,6.2929688
319,6.453125,6.5390625,6.1367188,6.0703125
320,6.546875,6.4882812,6.0664062,5.890625
321,6.4179688,6.6757812,6.0820312,5.9648438
322,5.859375,5.7382812,5.3515625,5.2851562
323,7.3007812,7.5976562,6.9726562,6.8320312
324,6.9179688,7.2109375,6.6523438,6.46875
325,6.5429688,6.796875,6.328125,6.1054688
326,6.78125,7.078125,6.4921875,6.3203125
327,2.9902344,2.7207031,2.7792969,2.6582031
328,6.5742188,6.4179688,6.1679688,6.0820312
329,7.0898438,7.2304688,6.78125,6.6914062
330,6.3554688,6.1328125,5.875,5.7539062
331,7.1484375,7.28125,6.8007812,6.7148438
332,6.5820312,6.4609375,6.1992188,6.125
333,6.8671875,6.90625,6.4335938,6.3671875
334,6.5664062,6.3632812,6.0859375,6.0507812
335,5.7773438,5.4765625,5.296875,5.2265625
336,6.0117188,5.6054688,5.4492188,5.4257812
337,7.1328125,7.359375,6.8125,6.7421875
338,7.03125,7.1640625,6.6445312,6.6054688
339,7.4921875,7.6328125,7.0664062,7.0351562
340,5.9179688,5.6367188,5.4140625,5.3398438
341,6.953125,6.9882812,6.5742188,6.5234375
342,6.4570312,6.2460938,6.0898438,5.9140625
343,6.640625,6.5664062,6.234375,6.1835938
344,6.625,6.5351562,6.1914062,6.078125
345,7.0195312,7.0820312,6.6132812,6.5273438
346,7.1289062,7.234375,6.734375,6.625
347,7.0859375,7.234375,6.71875,6.7148438
348,6.53125,6.4765625,6.1796875,6.09375
349,6.4335938,6.2695312,5.9570312,5.9257812
350,6.828125,6.8554688,6.4257812,6.3203125
351,7.1484375,7.2929688,6.9101562,6.8007812
352,7.171875,7.4375,6.8125,6.7421875
353,7.5664062,7.6875,7.1367188,7.1640625
354,7.1679688,7.2539062,6.765625,6.8085938
355,6.8164062,6.9804688,6.4179688,6.34375
356,7.0585938,7.2734375,6.796875,6.703125
357,6.671875,6.8554688,6.3789062,6.3789062
358,6.6757812,6.5859375,6.1210938,6.03125
359,7.0976562,7.1484375,6.65625,6.5234375
360,7.28125,7.328125,6.7890625,6.7226562
361,6.3515625,6.1835938,5.9101562,5.8320312
362,6.75,6.578125,6.2851562,6.2382812
363,3.7480469,3.6015625,3.5917969,3.2480469
364,6.4179688,6.3945312,6.09375,6.0351562
365,7.0976562,7.3007812,6.7226562,6.6679688
366,6.5351562,6.5742188,6.3164062,6.171875
367,6.84375,6.9570312,6.4492188,6.453125
368,7.0507812,7.125,6.6679688,6.5507812
369,6.75,6.859375,6.4257812,6.28125
370,7.3398438,7.7578125,6.9882812,6.9609375
371,7.3085938,7.6015625,6.984375,6.8476562
372,6.3945312,6.3085938,5.9960938,5.7578125
373,6.5234375,6.1640625,5.9375,5.8828125
374,7.0351562,7.0039062,6.6367188,6.484375
375,6.4492188,6.234375,5.9179688,5.8632812
376,7.0234375,7.1210938,6.5976562,6.4492188
377,6.9179688,7.0703125,6.578125,6.484375
378,6.7265625,6.65625,6.3046875,6.2421875
379,7.0585938,7.1796875,6.65625,6.5976562
380,6.9375,7.0039062,6.515625,6.5507812
381,4.890625,4.3476562,4.3632812,4.4101562
382,6.9570312,7.1953125,6.6132812,6.4609375
383,6.3867188,6.3125,5.8476562,5.84375
384,6.546875,6.703125,6.140625,6.0703125
385,6.6210938,6.8203125,6.2695312,6.2226562
386,6.3515625,6.3125,5.8828125,5.8632812
387,5.8984375,5.6796875,5.5234375,5.421875
388,6.484375,6.4296875,6.1132812,5.9804688
389,7.1289062,7.4726562,6.875,6.7773438
390,6.859375,7.0703125,6.46875,6.3828125
391,6.8359375,7.015625,6.5625,6.4179688
392,7.421875,7.5390625,7.0546875,6.8203125
393,5.8046875,5.3867188,5.3125,5.1601562
394,5.0898438,4.515625,4.4179688,4.3867188
395,7.2148438,7.3945312,6.8359375,6.8476562
396,5.5273438,5.5117188,5.1523438,5.1015625
397,6.84375,7.0703125,6.4804688,6.5
398,6.9921875,7.3867188,6.6914062,6.640625
399,5.609375,5.4296875,5.015625,5.0742188
400,7.1367188,7.3007812,6.6523438,6.609375
401,5.4882812,5.0976562,5.1367188,5.03125
402,5.1796875,5.03125,5.0078125,4.8945312
403,6.9765625,7.265625,6.6445312,6.546875
404,6.2070312,6.25,5.84375,5.6367188
405,6.8046875,6.84375,6.3671875,6.2421875
406,5.3710938,5.2539062,4.90625,4.8789062
407,6.921875,7.109375,6.4492188,6.4101562
408,7.78125,8.0390625,7.359375,7.1992188
409,6.6054688,6.7890625,6.390625,6.1835938
410,6.6679688,6.7070312,6.21875,6.0976562
411,6.4257812,6.5625,6.2265625,6.1054688
412,5.9335938,6.1132812,5.6796875,5.6523438
413,6.2734375,6.0234375,5.6757812,5.7382812
414,6.0703125,5.78125,5.5585938,5.4765625
415,6.40625,6.1015625,5.8710938,5.8945312
416,6.703125,6.65625,6.15625,6.1757812
417,6.7460938,6.765625,6.28125,6.3320312
418,6.4296875,6.2382812,6.0039062,5.9335938
419,6.6796875,6.7382812,6.2226562,6.2226562
420,7.0859375,7.4101562,6.75,6.6015625
421,6.2304688,6.0507812,5.8007812,5.6992188
422,7.046875,7.25,6.734375,6.6679688
423,5.359375,4.6875,4.703125,4.5273438
424,6.2109375,6.1640625,5.859375,5.7695312
425,6.6132812,6.8125,6.34375,6.3398438
426,6.2890625,6.3320312,5.8164062,5.7617188
427,7.03125,7.3710938,6.6523438,6.5625
428,6.6484375,6.703125,6.2460938,6.1054688
429,6.9765625,7.4023438,6.796875,6.5625
430,6.8476562,7.2539062,6.6054688,6.4335938
431,6.7734375,7.078125,6.4375,6.3789062
432,6.6171875,6.859375,6.421875,6.203125
433,6.6992188,6.609375,6.2304688,6.1132812
434,6.328125,6.1914062,5.8242188,5.6679688
435,7.1953125,7.3046875,6.75,6.7695312
436,7.1054688,7.171875,6.7773438,6.7695312
437,6.03125,5.875,5.515625,5.4960938
438,6.8203125,6.7734375,6.2734375,6.2460938
439,6.4179688,6.1289062,5.90625,5.7265625
440,7.1992188,7.3398438,6.8242188,6.6367188
441,5.6484375,5.2109375,5.0664062,4.8320312
442,7.2578125,7.3671875,7.0,6.78125
443,6.5429688,6.4335938,6.2382812,6.1054688
444,6.8359375,6.9453125,6.3242188,6.296875
445,6.671875,6.5195312,6.1289062,6.0820312
446,7.1679688,7.5429688,6.9609375,6.8632812
447,5.0195312,4.59375,4.5898438,4.390625
448,6.296875,6.2851562,5.8203125,5.7773438
449,6.921875,7.0429688,6.5898438,6.4960938
450,7.0703125,7.0976562,6.6601562,6.6015625
451,4.1015625,3.6503906,3.8730469,3.5371094
452,7.4726562,7.703125,7.0742188,6.9921875
453,6.984375,7.0859375,6.484375,6.46875
454,6.015625,5.6523438,5.4921875,5.3203125
455,6.8671875,6.9609375,6.5273438,6.3242188
456,5.9414062,5.5,5.3632812,5.3164062
457,7.0351562,7.0039062,6.6367188,6.484375
458,7.2773438,7.453125,6.9648438,6.7421875
459,6.7109375,6.7617188,6.3164062,6.2148438
460,6.2265625,6.234375,5.8828125,5.7734375
461,7.3515625,7.5195312,6.8398438,6.8125
462,6.0664062,6.09375,5.5820312,5.5859375
463,7.1523438,7.2578125,6.5234375,6.5351562
464,7.1796875,7.46875,6.65625,6.6640625
465,6.578125,6.4726562,6.1953125,6.0273438
466,6.84375,6.9804688,6.5976562,6.6289062
467,7.0195312,7.1171875,6.6445312,6.5585938
468,6.828125,6.9492188,6.5429688,6.5
469,6.4960938,6.21875,5.9375,5.78125
470,7.765625,8.09375,7.3671875,7.3203125
471,5.4140625,5.046875,4.90625,4.7851562
472,6.3671875,6.3632812,6.1171875,5.9882812
473,4.3320312,3.3476562,3.9199219,3.7792969
